Manufacturer,Model,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Car Age
JEEP,Grand Cherokee,Diesel,3.0 Turbo,250000.0,6.0,Tiptronic,4x4,18
HYUNDAI,Santa FE,Diesel,2,162000.0,4.0,Automatic,Front,14
TOYOTA,CHR Limited,Petrol,2,10200.0,4.0,Tiptronic,Front,6
HONDA,FIT,Hybrid,1.3,158000.0,4.0,Automatic,Front,15
HYUNDAI,Elantra,Petrol,1.6,103490.0,4.0,Automatic,Front,13
LEXUS,RX 450,Hybrid,3.5,382746.0,6.0,Automatic,4x4,15
TOYOTA,Camry,Petrol,2.4,203200.0,4.0,Automatic,Front,12
HYUNDAI,H1,Diesel,2.5,61057.0,4.0,Automatic,Front,9
VOLKSWAGEN,Jetta,Petrol,1.4 Turbo,11200.0,4.0,Tiptronic,Front,9
HYUNDAI,Sonata,Hybrid,2.4,141000.0,4.0,Tiptronic,Front,11
PORSCHE,Cayenne,Petrol,3.6,160259.0,6.0,Automatic,4x4,15
TOYOTA,Tacoma,Petrol,4,239342.0,6.0,Automatic,4x4,12
TOYOTA,Prius C,Hybrid,1.5,128000.0,4.0,Variator,Front,13
HYUNDAI,Santa FE,Diesel,2,100734.0,4.0,Automatic,Front,8
TOYOTA,Aqua,Hybrid,1.5,141500.0,4.0,Automatic,Front,13
FORD,Escape Hybrid,Hybrid,2.3,147000.0,4.0,Variator,4x4,17
HONDA,Civic,Petrol,2,87768.0,4.0,Automatic,Front,9
AUDI,Q7,Petrol,3,264014.0,6.0,Automatic,4x4,10
RENAULT,Megane 1.5CDI,Diesel,1.5 Turbo,132542.0,4.0,Manual,Front,17
MERCEDES-BENZ,E 300,Petrol,2,1600.0,4.0,Automatic,Rear,8
AUDI,Q5,Petrol,2,87000.0,1.0,Tiptronic,4x4,11
MERCEDES-BENZ,C 180,Petrol,2,260000.0,4.0,Manual,Rear,24
NISSAN,Juke,Petrol,1.6,87112.0,4.0,Automatic,4x4,10
BMW,535,Petrol,3,204318.0,6.0,Automatic,Rear,13
CHEVROLET,Cruze LT,Petrol,1.4 Turbo,22000.0,4.0,Automatic,Front,7
FORD,Fusion,Petrol,1.6 Turbo,83000.0,4.0,Tiptronic,Front,12
TOYOTA,VOXY,Petrol,2.4,170000.0,4.0,Automatic,Front,18
NISSAN,Juke,Petrol,1.6,312118.0,4.0,Automatic,Front,12
MERCEDES-BENZ,A 160,Petrol,1.6,130000.0,4.0,Tiptronic,Front,21
HYUNDAI,Tucson,Diesel,2,200279.0,4.0,Automatic,Front,12
HYUNDAI,Sonata,LPG,2,719847.0,4.0,Automatic,Front,10
HYUNDAI,H1,Diesel,2.5,154672.0,4.0,Automatic,Front,11
HYUNDAI,H1,Diesel,2.5,110969.0,4.0,Automatic,Front,9
TOYOTA,Camry,Hybrid,2.5,225510.0,4.0,Automatic,Front,12
TOYOTA,Vitz,Petrol,1.5,210000.0,4.0,Manual,Front,24
HYUNDAI,H1,Diesel,2.5,148105.0,4.0,Automatic,Front,10
CHEVROLET,Captiva,Diesel,2.2,255456.0,4.0,Automatic,Front,14
HYUNDAI,H1,Diesel,2.5,111643.0,4.0,Automatic,Front,8
HYUNDAI,Santa FE,Diesel,2,84506.0,4.0,Automatic,Front,9
TOYOTA,Prius,Hybrid,1.8,288000.0,4.0,Automatic,Front,14
FORD,Mustang,Petrol,2.3 Turbo,75000.0,4.0,Tiptronic,Rear,9
MERCEDES-BENZ,ML 350,Petrol,3.5,94362.0,6.0,Automatic,Rear,11
TOYOTA,Prius,Petrol,1.8,175000.0,4.0,Automatic,Front,13
LEXUS,GX 470,Petrol,4.7,263190.0,8.0,Automatic,4x4,17
FORD,Escape,Hybrid,2.5,193614.0,4.0,Automatic,Front,16
TOYOTA,Highlander,Hybrid,3.3,264877.0,6.0,Automatic,4x4,15
TOYOTA,Yaris,Petrol,1.5,27656.0,4.0,Automatic,Front,6
HONDA,Civic,Hybrid,1.4,16000.0,8.0,Automatic,4x4,11
HONDA,Cr-v,Petrol,2,0.0,4.0,Automatic,4x4,27
TOYOTA,Camry,Petrol,2.5,195053.0,4.0,Automatic,Front,13
HYUNDAI,Elantra,Petrol,1.6,121362.0,4.0,Automatic,Front,13
HYUNDAI,Santa FE,Diesel,2,69191.0,4.0,Automatic,Front,11
HONDA,FIT,Hybrid,1.3,83000.0,4.0,Tiptronic,Front,13
CHEVROLET,Cruze,Petrol,1.8,40772.0,4.0,Automatic,Front,15
CHEVROLET,Orlando,Diesel,2,172000.0,4.0,Automatic,Front,13
MERCEDES-BENZ,GL 63 AMG,Petrol,5.5,433811.0,8.0,Automatic,4x4,11
BMW,520 Vanos,Petrol,2,350000.0,6.0,Manual,Rear,30
SUBARU,Forester,Petrol,2.5,148213.0,4.0,Automatic,4x4,13
DAEWOO,Lacetti,Petrol,2,103246.0,4.0,Automatic,Front,17
HYUNDAI,Elantra,Petrol,2,105394.0,4.0,Tiptronic,Front,9
BMW,428 Sport Line,Petrol,2.0 Turbo,160000.0,4.0,Automatic,Rear,12
NISSAN,Patrol,Diesel,2.8 Turbo,333333.0,4.0,Manual,Rear,35
HONDA,Civic,Petrol,1.4,0.0,4.0,Manual,Front,28
MERCEDES-BENZ,E 320,Petrol,3.2,214000.0,6.0,Tiptronic,Rear,21
HYUNDAI,Genesis,Petrol,2,123346.0,4.0,Automatic,Front,16
CHEVROLET,Cruze,Petrol,1.4,80827.0,4.0,Automatic,Front,11
PORSCHE,911,Petrol,3.8,64464.0,6.0,Automatic,Rear,12
FORD,Fusion,Hybrid,2,91760.0,4.0,Automatic,Front,10
LEXUS,GX 460,Petrol,4.6,275240.0,8.0,Automatic,4x4,15
MERCEDES-BENZ,Sprinter,Diesel,2.2 Turbo,300000.0,4.0,Manual,Rear,21
TOYOTA,Prius,Petrol,1.5,318400.0,4.0,Automatic,Front,18
FORD,Focus SE,Petrol,2,91200.0,4.0,Automatic,Front,10
BMW,X5,Diesel,3,137802.0,6.0,Automatic,4x4,12
BMW,535,Hybrid,3,151586.0,6.0,Automatic,Rear,12
KIA,Picanto,Petrol,1.2,107000.0,4.0,Manual,Front,9
BMW,328,CNG,3,210408.0,6.0,Tiptronic,Rear,17
HYUNDAI,H1,Diesel,2.5,86000.0,4.0,Automatic,Front,9
HYUNDAI,Elantra,Petrol,1.6,122740.0,4.0,Automatic,Front,15
MITSUBISHI,Airtrek,LPG,2.4,144000.0,4.0,Tiptronic,4x4,20
MERCEDES-BENZ,E 500 AMG,Petrol,5,150000.0,12.0,Tiptronic,Rear,22
MITSUBISHI,Lancer,Petrol,1.3,100000.0,4.0,Manual,Rear,28
HONDA,FIT,Petrol,1.5,178000.0,4.0,Variator,Front,22
SSANGYONG,Korando,Diesel,2,85704.0,4.0,Automatic,Front,12
HYUNDAI,Santa FE,Diesel,2,58962.0,4.0,Automatic,Front,15
TOYOTA,Camry,Hybrid,2.5,90000.0,4.0,Tiptronic,Front,12
RENAULT,Clio,Petrol,1.2,50000.0,3.0,Manual,Front,30
MAZDA,616,Petrol,2.5,0.0,4.0,Automatic,Front,11
TOYOTA,Highlander,Hybrid,3.3,318358.0,6.0,Automatic,4x4,16
FORD,Fusion,Petrol,2,71454.0,4.0,Automatic,Front,10
TOYOTA,Camry,Petrol,2.5,0.0,4.0,Tiptronic,Front,13
HYUNDAI,Sonata,LPG,2,346470.0,4.0,Automatic,Front,11
HYUNDAI,Santa FE,Diesel,2,59515.0,4.0,Automatic,Front,9
TOYOTA,Camry,Hybrid,2.5,115312.0,4.0,Automatic,Front,11
MERCEDES-BENZ,C 220,Diesel,2.2 Turbo,111111.0,4.0,Manual,Rear,26
HYUNDAI,H1,Diesel,2.5,74444.0,4.0,Automatic,Front,17
NISSAN,Serena,Petrol,2,143000.0,4.0,Tiptronic,Front,13
NISSAN,Maxima,Petrol,3.5,299709.0,6.0,Automatic,Front,21
TOYOTA,RAV 4,Petrol,2.4,135000.0,4.0,Automatic,4x4,17
HYUNDAI,H1,Diesel,2.5,124444.0,4.0,Automatic,Front,14
HONDA,Civic,Hybrid,1.5,146403.0,4.0,Automatic,Front,13
MITSUBISHI,Pajero,Petrol,2.4,142000.0,4.0,Automatic,4x4,28
LEXUS,GX 460,Petrol,4.6,155821.0,8.0,Automatic,4x4,15
LEXUS,GX 460,Petrol,4.6,102907.0,8.0,Automatic,4x4,10
HYUNDAI,Sonata,Petrol,2.4,130000.0,4.0,Tiptronic,Front,12
MERCEDES-BENZ,E 300,Petrol,2,50930.0,4.0,Automatic,Rear,8
HYUNDAI,Sonata,LPG,2,264872.0,4.0,Automatic,Front,11
CHEVROLET,Volt,Hybrid,1.4,131893.0,4.0,Automatic,Front,11
GMC,TERRAIN,Petrol,2.4,138958.0,4.0,Automatic,Front,12
TOYOTA,Camry,Hybrid,2.5,35058.0,4.0,Automatic,Front,7
HONDA,Hr-v EX,Petrol,1.8,33330.0,4.0,Automatic,4x4,10
FIAT,500,Petrol,1.2,141000.0,4.0,Automatic,Front,14
VOLKSWAGEN,Jetta,Diesel,2,82392.0,4.0,Automatic,Front,11
SUBARU,Legacy,Petrol,2.0 Turbo,180000.0,6.0,Tiptronic,4x4,20
HYUNDAI,Elantra sport limited,Petrol,1.8,117920.0,4.0,Tiptronic,Front,12
HYUNDAI,Sonata,LPG,2,279787.0,4.0,Automatic,Front,9
TOYOTA,Sienna,Petrol,3.5,227200.0,6.0,Tiptronic,Front,15
TOYOTA,Camry,Hybrid,2.5,130478.0,4.0,Automatic,Front,11
HYUNDAI,H1,Diesel,2.5,166144.0,4.0,Automatic,Front,13
HYUNDAI,Sonata,LPG,2,258706.0,4.0,Automatic,Front,9
CHEVROLET,Volt,Hybrid,1.4,188419.0,4.0,Automatic,Front,13
TOYOTA,Aqua,Petrol,1.5,25807.0,4.0,Automatic,Front,9
MERCEDES-BENZ,A 170,Petrol,1.7,180000.0,4.0,Automatic,Front,17
LEXUS,NX 300,Petrol,2.0 Turbo,18918.0,4.0,Tiptronic,Front,7
SSANGYONG,REXTON,Diesel,2,137267.0,4.0,Automatic,Front,12
TOYOTA,Prius,Hybrid,1.8,160000.0,4.0,Automatic,4x4,11
TOYOTA,Tacoma,Petrol,3.5,27358.0,6.0,Automatic,Front,7
KIA,Carnival grand,Diesel,2.9,84176.0,4.0,Automatic,Front,16
HYUNDAI,Genesis,Petrol,2,107005.0,4.0,Automatic,Front,14
OPEL,Vectra,Petrol,1.6,15000.0,4.0,Manual,Front,28
INFINITI,QX60,Petrol,3.5,124154.0,6.0,Automatic,4x4,10
HYUNDAI,Elantra,Petrol,1.6,104997.0,4.0,Automatic,Front,13
VOLKSWAGEN,Passat,Petrol,1.8,27728.0,6.0,Tiptronic,Front,8
MERCEDES-BENZ,E 240 E 240,Petrol,2.4,777777.0,6.0,Manual,Rear,27
MAZDA,1000,Petrol,2,11566.0,4.0,Automatic,4x4,6
AUDI,50,Petrol,0.5,4000.0,1.0,Tiptronic,Rear,7
HYUNDAI,Santa FE,Diesel,2,113700.0,4.0,Automatic,Front,9
MERCEDES-BENZ,C 250,Petrol,1.8 Turbo,69000.0,4.0,Tiptronic,Rear,11
TOYOTA,Camry,Hybrid,2.5,152000.0,4.0,Variator,Front,14
TOYOTA,Vitz funkargo,Petrol,1.5,181926.0,4.0,Automatic,4x4,22
HYUNDAI,Santa FE,Diesel,2,50255.0,4.0,Automatic,Front,9
BMW,325,Petrol,2.5,252800.0,6.0,Manual,Rear,24
AUDI,A6,Petrol,3,164488.0,6.0,Automatic,4x4,11
FORD,Transit,Diesel,2.4 Turbo,125000.0,4.0,Manual,4x4,14
FIAT,500,Petrol,1.4,164574.0,4.0,Automatic,Front,13
CHEVROLET,Cruze,Petrol,1.4,156992.0,4.0,Automatic,Front,11
OPEL,Vectra,CNG,2,0.0,4.0,Manual,Front,30
MITSUBISHI,Pajero,Petrol,3.5 Turbo,11000.0,6.0,Tiptronic,4x4,27
NISSAN,Pathfinder,LPG,4,90200.0,6.0,Tiptronic,4x4,15
MITSUBISHI,Delica,Petrol,3,184000.0,6.0,Automatic,4x4,20
MERCEDES-BENZ,E 350,Diesel,3.5,149486.0,6.0,Automatic,4x4,11
VOLKSWAGEN,Golf,CNG,2,0.0,4.0,Manual,Front,29
MERCEDES-BENZ,Vaneo,LPG,1.9,170000.0,4.0,Tiptronic,Front,21
TOYOTA,Camry Se,Petrol,2.5,25000.0,4.0,Tiptronic,Front,7
VOLKSWAGEN,Jetta,Diesel,2,113214.0,4.0,Automatic,Front,11
TOYOTA,Tacoma,Petrol,2.7,394069.0,4.0,Automatic,Rear,13
MERCEDES-BENZ,E 350,Diesel,3.5,149486.0,6.0,Automatic,4x4,11
HONDA,Cr-v,Petrol,2.4,260000.0,4.0,Automatic,4x4,23
NISSAN,Patrol Y60,Diesel,2.8 Turbo,222222.0,4.0,Manual,Rear,35
AUDI,A7,Petrol,3,301707.0,6.0,Automatic,4x4,12
HYUNDAI,Sonata,Petrol,2.4,175827.0,4.0,Automatic,Front,12
MERCEDES-BENZ,E 350,Diesel,3.5,107800.0,6.0,Automatic,Rear,12
TOYOTA,Camry,Petrol,2.5,115200.0,4.0,Automatic,Front,11
CHEVROLET,Orlando,LPG,2,132036.0,4.0,Automatic,Front,13
TOYOTA,RAV 4,Petrol,2,91000.0,4.0,Automatic,4x4,24
FORD,Explorer,Petrol,3.5,129177.0,4.0,Automatic,Front,14
HYUNDAI,I30,Diesel,1.6,201000.0,4.0,Manual,Front,17
HYUNDAI,Santa FE,Diesel,2,185811.0,4.0,Automatic,Front,10
NISSAN,Altima,Petrol,2.4,358400.0,4.0,Manual,Front,27
PORSCHE,Cayenne,Petrol,3.6,28968.0,6.0,Automatic,4x4,7
ALFA ROMEO,147,Petrol,1.8,240000.0,4.0,Manual,Front,24
SUZUKI,Grand Vitara,Petrol,1.6,98000.0,4.0,Automatic,4x4,17
LEXUS,CT 200h,Hybrid,1.8,122302.0,4.0,Automatic,Front,14
TOYOTA,Prius,Hybrid,1.5,140000.0,4.0,Automatic,Front,18
HYUNDAI,Tucson,Diesel,2,120000.0,4.0,Automatic,Front,11
PORSCHE,Panamera,Petrol,4.8,196800.0,8.0,Tiptronic,4x4,15
HYUNDAI,Veloster,Petrol,1.6,17200.0,4.0,Tiptronic,Front,10
TOYOTA,RAV 4 XLE Sport,Petrol,2.5,120000.0,4.0,Tiptronic,Front,12
TOYOTA,Aqua,Hybrid,1.5,66000.0,4.0,Variator,Front,11
TOYOTA,Sienta,Petrol,1.5,300000.0,4.0,Variator,Front,21
TOYOTA,Prius,Hybrid,1.8,230000.0,4.0,Variator,Front,16
HONDA,FIT,Petrol,1.3,110467.0,4.0,Automatic,Front,12
MERCEDES-BENZ,CLS 550,Petrol,5.5,157000.0,4.0,Automatic,Front,15
HONDA,FIT,Hybrid,1.3,64000.0,4.0,Variator,Front,13
VOLKSWAGEN,Passat,Diesel,2.0 Turbo,179200.0,4.0,Tiptronic,Front,12
CHEVROLET,Avalanche,Petrol,5.3,246976.0,8.0,Automatic,Front,14
HYUNDAI,H1,Diesel,2.5,179918.0,4.0,Automatic,Front,11
TOYOTA,Avalon LIMITED,Hybrid,2.5,92200.0,4.0,Tiptronic,Front,12
KIA,Cerato K3,Diesel,1.6 Turbo,29000.0,4.0,Tiptronic,Front,9
MAZDA,CX-7,Petrol,2.5,216550.0,4.0,Automatic,Front,14
JEEP,Grand Cherokee,Petrol,4,240000.0,6.0,Automatic,4x4,32
LEXUS,GX 470,Petrol,4.6,357246.0,8.0,Automatic,4x4,15
HYUNDAI,Elantra,Petrol,1.8,50000.0,4.0,Tiptronic,Front,12
CHEVROLET,Cruze,Petrol,1.4,127842.0,4.0,Automatic,Front,11
HYUNDAI,Tucson,Petrol,1.6,40193.0,4.0,Automatic,Front,8
OPEL,Astra G,Petrol,1.6,180000.0,4.0,Manual,Front,22
TOYOTA,Ist,Petrol,1.3,115000.0,4.0,Automatic,Front,23
FORD,Escape,Hybrid,0.4,220474.0,4.0,Automatic,Front,17
VOLKSWAGEN,Passat,Diesel,2,132310.0,4.0,Automatic,Front,12
TOYOTA,Camry,Petrol,2.5,60762.0,4.0,Automatic,Front,8
HYUNDAI,Tucson,Diesel,2,142264.0,4.0,Automatic,Front,15
HONDA,Civic,Hybrid,1.5,146403.0,4.0,Automatic,Front,13
TOYOTA,Corolla,Petrol,1.8,227371.0,4.0,Automatic,Front,12
VOLKSWAGEN,Passat,Petrol,2.8,175000.0,6.0,Manual,Front,23
VOLKSWAGEN,Jetta,Diesel,2,203440.0,4.0,Automatic,Front,13
HONDA,FIT,Petrol,1.5,70000.0,4.0,Automatic,Front,12
NISSAN,Rogue,Petrol,2.5,122000.0,4.0,Automatic,4x4,15
MAZDA,MPV,Petrol,2.5,127000.0,4.0,Automatic,Front,25
MERCEDES-BENZ,GLA 250,Petrol,2,44995.0,4.0,Automatic,4x4,8
TOYOTA,Prius,Hybrid,1.8,122324.0,4.0,Automatic,Front,13
BMW,530,Petrol,3,111111.0,6.0,Tiptronic,Rear,18
LEXUS,GS 350,Petrol,3.5,56000.0,6.0,Tiptronic,Rear,12
FORD,Fusion,Hybrid,2,186048.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Diesel,1.6,98000.0,4.0,Automatic,Front,8
HYUNDAI,Sonata,LPG,2,573249.0,4.0,Automatic,Front,13
TOYOTA,Aqua,Hybrid,1.5,130000.0,4.0,Automatic,Rear,12
HYUNDAI,Sonata,LPG,2,169024.0,4.0,Automatic,Front,11
VOLKSWAGEN,Sharan,Petrol,1.4,126000.0,4.0,Automatic,Front,14
MERCEDES-BENZ,E 350,Diesel,3.5,200179.0,6.0,Automatic,4x4,11
TOYOTA,Camry,Petrol,2.5,156666.0,4.0,Automatic,Front,12
CHEVROLET,Volt,Hybrid,1.4,133195.0,4.0,Automatic,Front,11
HONDA,FIT,Hybrid,1.3,114950.0,4.0,Automatic,Front,11
FORD,Fusion,Petrol,2.5,154850.0,4.0,Automatic,Front,9
HYUNDAI,Tucson,Diesel,1.6,13000.0,4.0,Automatic,Front,6
TOYOTA,Tacoma,Petrol,2.7,94262.0,4.0,Automatic,Rear,8
HYUNDAI,H1,Diesel,2.5,27406.0,4.0,Automatic,Front,7
MERCEDES-BENZ,E 300,Petrol,2,1600.0,4.0,Automatic,Rear,8
NISSAN,Tiida,CNG,1.8,200000.0,4.0,Variator,Front,19
FORD,Fusion,Petrol,1.6 Turbo,85500.0,4.0,Automatic,Front,12
MERCEDES-BENZ,E 350,Diesel,3,175614.0,6.0,Automatic,Rear,17
FORD,Fusion,Hybrid,2,0.0,4.0,Automatic,Front,11
NISSAN,Juke,Petrol,1.6,85944.0,4.0,Automatic,4x4,10
MERCEDES-BENZ,C 300,Petrol,2,0.0,4.0,Automatic,Rear,10
SSANGYONG,Actyon,Diesel,1.6,73000.0,4.0,Automatic,Front,8
FORD,Transit,Diesel,2.2,180000.0,4.0,Manual,Front,17
TOYOTA,Camry,Hybrid,2.4,92000.0,4.0,Tiptronic,Front,16
LEXUS,GX 460,Petrol,4.6,160138.0,8.0,Automatic,4x4,14
HYUNDAI,Santa FE,Petrol,3.5,197923.0,6.0,Automatic,4x4,13
CHEVROLET,Cruze,Petrol,1.4 Turbo,42000.0,4.0,Tiptronic,Front,8
TOYOTA,Tundra,Petrol,4.6,254805.0,8.0,Automatic,4x4,9
HYUNDAI,Tucson,Diesel,2,48000.0,4.0,Automatic,Front,6
NISSAN,Elgrand,Diesel,3.2 Turbo,230000.0,4.0,Automatic,4x4,27
MERCEDES-BENZ,C 350,Petrol,3.5,159250.0,6.0,Automatic,Rear,12
HYUNDAI,Sonata,LPG,2,582376.0,4.0,Automatic,Front,10
MERCEDES-BENZ,CLS 500,Petrol,5,2000.0,8.0,Automatic,Rear,19
HYUNDAI,Tucson,Diesel,2,40800.0,4.0,Automatic,Front,8
HYUNDAI,Genesis,Petrol,2,117492.0,4.0,Automatic,Front,14
FORD,Fusion,Hybrid,2,88795.0,4.0,Automatic,Front,10
HYUNDAI,H1,Diesel,2.5,56769.0,4.0,Automatic,Front,17
MERCEDES-BENZ,C 250,Petrol,1.8 Turbo,70000.0,4.0,Tiptronic,Rear,11
TOYOTA,Camry,Hybrid,2.5,136861.0,4.0,Automatic,Front,12
MERCEDES-BENZ,S 350,Petrol,3.5,263000.0,4.0,Automatic,Rear,20
HYUNDAI,Elantra,Petrol,1.6,95665.0,4.0,Automatic,Front,13
HYUNDAI,Sonata,Hybrid,2,107387.0,4.0,Automatic,Front,8
TOYOTA,RAV 4 Le,Petrol,2.5,65350.0,4.0,Tiptronic,Front,12
OPEL,Zafira,Petrol,1.8,130000.0,4.0,Manual,Front,25
CHEVROLET,Captiva,Diesel,2,183923.0,4.0,Automatic,Front,18
OPEL,Vectra b,Diesel,2.0 Turbo,11111.0,4.0,Manual,Front,25
HYUNDAI,H1,Diesel,2.5,97129.0,4.0,Automatic,Front,9
MERCEDES-BENZ,C 200,CNG,2,140000.0,4.0,Manual,Rear,24
TOYOTA,CHR,Petrol,2,24000.0,4.0,Automatic,Front,7
OPEL,Astra,Petrol,1.1,0.0,4.0,Manual,Front,33
MAZDA,323,Petrol,1.5,300000.0,4.0,Manual,Front,27
CHEVROLET,Cruze,Petrol,1.4,29094.0,4.0,Automatic,Front,8
FORD,Fusion,Hybrid,2,148709.0,4.0,Automatic,Front,10
LEXUS,RX 450,Hybrid,3.5,186005.0,6.0,Automatic,4x4,15
MERCEDES-BENZ,E 350 ამგ,Petrol,3.5,156800.0,4.0,Tiptronic,4x4,12
FORD,Escape,Petrol,2,251430.0,4.0,Automatic,Front,8
TOYOTA,Camry,Hybrid,2.5,35000.0,4.0,Automatic,Front,10
HYUNDAI,Elantra,LPG,1.6,35643.0,4.0,Automatic,Front,7
HONDA,Civic,Petrol,1.8,250000.0,4.0,Manual,Front,19
MERCEDES-BENZ,CLK 320,Petrol,3.2,255000.0,6.0,Tiptronic,Rear,25
HONDA,Cr-v,Petrol,2.4,117158.0,4.0,Automatic,Front,10
SUBARU,Forester,Petrol,2.5,281659.0,4.0,Automatic,4x4,13
TOYOTA,Avalon,Hybrid,2.5,63645.0,4.0,Tiptronic,Front,10
MERCEDES-BENZ,ML 250,Diesel,2.1,197338.0,4.0,Automatic,4x4,10
BMW,330,Petrol,3,1123.0,6.0,Tiptronic,4x4,18
MITSUBISHI,Colt Lancer,Petrol,2,136634.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Petrol,1.8,77000.0,6.0,Manual,Front,12
TOYOTA,Prius,Hybrid,1.5,140000.0,4.0,Variator,Front,18
HYUNDAI,Sonata,Petrol,2.4,45494.0,4.0,Automatic,Front,7
TOYOTA,Prius,Hybrid,1.8,47672.0,4.0,Automatic,Front,8
NISSAN,Pathfinder,Petrol,4,109100.0,12.0,Automatic,4x4,15
HONDA,FIT,Hybrid,1.3,145000.0,4.0,Automatic,Front,12
BMW,318,LPG,1.8,270000.0,4.0,Manual,Rear,28
TOYOTA,Camry,Hybrid,2.4,188800.0,4.0,Variator,Front,19
MITSUBISHI,Outlander,Petrol,2.4,39000.0,4.0,Variator,Front,9
TOYOTA,Camry SE,Petrol,2.5,52000.0,4.0,Tiptronic,Front,11
SUBARU,Forester,Petrol,2.5,34000.0,4.0,Variator,4x4,9
HYUNDAI,I30,Petrol,1.6,140000.0,4.0,Automatic,Front,16
MERCEDES-BENZ,E 200,CNG,2,180003.0,4.0,Manual,Rear,27
FORD,Escape,Hybrid,0.4,220474.0,4.0,Automatic,Front,17
MERCEDES-BENZ,GLE 350,Petrol,3,59099.0,6.0,Automatic,4x4,9
HYUNDAI,Tucson,Diesel,2,124000.0,4.0,Automatic,Front,12
HONDA,FIT,Petrol,1.5,34682.0,4.0,Automatic,Front,12
CHEVROLET,Malibu,Petrol,2.5,310061.0,4.0,Automatic,Front,11
ACURA,TL,Petrol,3.5,162453.0,6.0,Automatic,Front,15
TOYOTA,Prius,Hybrid,1.8,22400.0,4.0,Automatic,Front,13
MERCEDES-BENZ,E 350,Petrol,3.5,229904.0,6.0,Automatic,4x4,15
HYUNDAI,Sonata,Petrol,2.0 Turbo,62000.0,4.0,Tiptronic,Front,11
HYUNDAI,Elantra,Diesel,1.6,54279.0,4.0,Automatic,Front,18
CHEVROLET,Cruze,Petrol,1.8,135759.0,4.0,Automatic,Front,14
HYUNDAI,Tucson,Diesel,2,120534.0,4.0,Automatic,Front,12
BMW,X5,LPG,3,189000.0,6.0,Tiptronic,4x4,22
HYUNDAI,Elantra,Petrol,1.6,140000.0,4.0,Automatic,Front,11
MERCEDES-BENZ,C 300,Petrol,3,108517.0,6.0,Automatic,4x4,15
LEXUS,RX 350,Petrol,3.5,107030.0,6.0,Automatic,4x4,9
LEXUS,GX 460,Petrol,4.6,155821.0,8.0,Automatic,4x4,15
MERCEDES-BENZ,E 350,Diesel,5.5,325811.0,8.0,Automatic,4x4,14
TOYOTA,CHR,Petrol,2,24339.0,4.0,Automatic,Front,6
